"index","op","name","z","type","value","probability"
2,"Boundary","moat start",,"posterior",-3314.5,0
2,"Boundary","moat start",,"posterior",-3309.5,0
2,"Boundary","moat start",,"posterior",-3304.5,0.0016618
2,"Boundary","moat start",,"posterior",-3299.5,0.0025301
2,"Boundary","moat start",,"posterior",-3294.5,0.0021654
2,"Boundary","moat start",,"posterior",-3289.5,0.0019435
2,"Boundary","moat start",,"posterior",-3284.5,0.0018484
2,"Boundary","moat start",,"posterior",-3279.5,0.0017715
2,"Boundary","moat start",,"posterior",-3274.5,0.0016577
2,"Boundary","moat start",,"posterior",-3269.5,0.0015293
2,"Boundary","moat start",,"posterior",-3264.5,0.0015126
2,"Boundary","moat start",,"posterior",-3259.5,0.0014374
2,"Boundary","moat start",,"posterior",-3254.5,0.0014114
2,"Boundary","moat start",,"posterior",-3249.5,0.001461
2,"Boundary","moat start",,"posterior",-3244.5,0.0013776
2,"Boundary","moat start",,"posterior",-3239.5,0.0013516
2,"Boundary","moat start",,"posterior",-3234.5,0.0012801
2,"Boundary","moat start",,"posterior",-3229.5,0.0012545
2,"Boundary","moat start",,"posterior",-3224.5,0.001248
2,"Boundary","moat start",,"posterior",-3219.5,0.0011931
2,"Boundary","moat start",,"posterior",-3214.5,0.0011663
2,"Boundary","moat start",,"posterior",-3209.5,0.0011776
2,"Boundary","moat start",,"posterior",-3204.5,0.0011898
2,"Boundary","moat start",,"posterior",-3199.5,0.0011215
2,"Boundary","moat start",,"posterior",-3194.5,0.0010594
2,"Boundary","moat start",,"posterior",-3189.5,0.0010707
2,"Boundary","moat start",,"posterior",-3184.5,0.0010654
2,"Boundary","moat start",,"posterior",-3179.5,0.0010516
2,"Boundary","moat start",,"posterior",-3174.5,0.0010939
2,"Boundary","moat start",,"posterior",-3169.5,0.0010679
2,"Boundary","moat start",,"posterior",-3164.5,0.001037
2,"Boundary","moat start",,"posterior",-3159.5,0.0010447
2,"Boundary","moat start",,"posterior",-3154.5,0.0010203
2,"Boundary","moat start",,"posterior",-3149.5,0.0009882
2,"Boundary","moat start",,"posterior",-3144.5,0.0010187
2,"Boundary","moat start",,"posterior",-3139.5,0.000976
2,"Boundary","moat start",,"posterior",-3134.5,0.0009894
2,"Boundary","moat start",,"posterior",-3129.5,0.0009988
2,"Boundary","moat start",,"posterior",-3124.5,0.0009659
2,"Boundary","moat start",,"posterior",-3119.5,0.0009744
2,"Boundary","moat start",,"posterior",-3114.5,0.0009508
2,"Boundary","moat start",,"posterior",-3109.5,0.0009841
2,"Boundary","moat start",,"posterior",-3104.5,0.0009528
2,"Boundary","moat start",,"posterior",-3099.5,0.0009179
2,"Boundary","moat start",,"posterior",-3094.5,0.0009069
2,"Boundary","moat start",,"posterior",-3089.5,0.0009297
2,"Boundary","moat start",,"posterior",-3084.5,0.0009646
2,"Boundary","moat start",,"posterior",-3079.5,0.0009858
2,"Boundary","moat start",,"posterior",-3074.5,0.0008882
2,"Boundary","moat start",,"posterior",-3069.5,0.0009146
2,"Boundary","moat start",,"posterior",-3064.5,0.0009451
2,"Boundary","moat start",,"posterior",-3059.5,0.000924
2,"Boundary","moat start",,"posterior",-3054.5,0.0008988
2,"Boundary","moat start",,"posterior",-3049.5,0.0009041
2,"Boundary","moat start",,"posterior",-3044.5,0.0009203
2,"Boundary","moat start",,"posterior",-3039.5,0.0008699
2,"Boundary","moat start",,"posterior",-3034.5,0.0008463
2,"Boundary","moat start",,"posterior",-3029.5,0.0008691
2,"Boundary","moat start",,"posterior",-3024.5,0.0008593
2,"Boundary","moat start",,"posterior",-3019.5,0.0008923
2,"Boundary","moat start",,"posterior",-3014.5,0.0009012
2,"Boundary","moat start",,"posterior",-3009.5,0.0008984
2,"Boundary","moat start",,"posterior",-3004.5,0.0008756
2,"Boundary","moat start",,"posterior",-2999.5,0.0008915
2,"Boundary","moat start",,"posterior",-2994.5,0.0009069
2,"Boundary","moat start",,"posterior",-2989.5,0.0008931
2,"Boundary","moat start",,"posterior",-2984.5,0.0008659
2,"Boundary","moat start",,"posterior",-2979.5,0.0008854
2,"Boundary","moat start",,"posterior",-2974.5,0.000915
2,"Boundary","moat start",,"posterior",-2969.5,0.0008943
2,"Boundary","moat start",,"posterior",-2964.5,0.0008927
2,"Boundary","moat start",,"posterior",-2959.5,0.0008882
2,"Boundary","moat start",,"posterior",-2954.5,0.0008577
2,"Boundary","moat start",,"posterior",-2949.5,0.0009077
2,"Boundary","moat start",,"posterior",-2944.5,0.0009179
2,"Boundary","moat start",,"posterior",-2939.5,0.0008642
2,"Boundary","moat start",,"posterior",-2934.5,0.0009386
2,"Boundary","moat start",,"posterior",-2929.5,0.0009325
2,"Boundary","moat start",,"posterior",-2924.5,0.0009138
2,"Boundary","moat start",,"posterior",-2919.5,0.0009407
2,"Boundary","moat start",,"posterior",-2914.5,0.0009081
2,"Boundary","moat start",,"posterior",-2909.5,0.0009581
2,"Boundary","moat start",,"posterior",-2904.5,0.0009435
2,"Boundary","moat start",,"posterior",-2899.5,0.0009472
2,"Boundary","moat start",,"posterior",-2894.5,0.000978
2,"Boundary","moat start",,"posterior",-2889.5,0.0009598
2,"Boundary","moat start",,"posterior",-2884.5,0.0010028
2,"Boundary","moat start",,"posterior",-2879.5,0.0010065
2,"Boundary","moat start",,"posterior",-2874.5,0.0009939
2,"Boundary","moat start",,"posterior",-2869.5,0.0010297
2,"Boundary","moat start",,"posterior",-2864.5,0.0010272
2,"Boundary","moat start",,"posterior",-2859.5,0.0010378
2,"Boundary","moat start",,"posterior",-2854.5,0.0010516
2,"Boundary","moat start",,"posterior",-2849.5,0.0010215
2,"Boundary","moat start",,"posterior",-2844.5,0.0010866
2,"Boundary","moat start",,"posterior",-2839.5,0.0011268
2,"Boundary","moat start",,"posterior",-2834.5,0.001128
2,"Boundary","moat start",,"posterior",-2829.5,0.0011362
2,"Boundary","moat start",,"posterior",-2824.5,0.0010833
2,"Boundary","moat start",,"posterior",-2819.5,0.0010736
2,"Boundary","moat start",,"posterior",-2814.5,0.001085
2,"Boundary","moat start",,"posterior",-2809.5,0.0010768
2,"Boundary","moat start",,"posterior",-2804.5,0.0010972
2,"Boundary","moat start",,"posterior",-2799.5,0.0011024
2,"Boundary","moat start",,"posterior",-2794.5,0.0010882
2,"Boundary","moat start",,"posterior",-2789.5,0.0011467
2,"Boundary","moat start",,"posterior",-2784.5,0.0011833
2,"Boundary","moat start",,"posterior",-2779.5,0.0011768
2,"Boundary","moat start",,"posterior",-2774.5,0.0011866
2,"Boundary","moat start",,"posterior",-2769.5,0.0012276
2,"Boundary","moat start",,"posterior",-2764.5,0.0011898
2,"Boundary","moat start",,"posterior",-2759.5,0.0012813
2,"Boundary","moat start",,"posterior",-2754.5,0.0013407
2,"Boundary","moat start",,"posterior",-2749.5,0.0013228
2,"Boundary","moat start",,"posterior",-2744.5,0.0013142
2,"Boundary","moat start",,"posterior",-2739.5,0.0014431
2,"Boundary","moat start",,"posterior",-2734.5,0.0013317
2,"Boundary","moat start",,"posterior",-2729.5,0.0014752
2,"Boundary","moat start",,"posterior",-2724.5,0.0014089
2,"Boundary","moat start",,"posterior",-2719.5,0.0014846
2,"Boundary","moat start",,"posterior",-2714.5,0.0015577
2,"Boundary","moat start",,"posterior",-2709.5,0.0016118
2,"Boundary","moat start",,"posterior",-2704.5,0.0017126
2,"Boundary","moat start",,"posterior",-2699.5,0.001615
2,"Boundary","moat start",,"posterior",-2694.5,0.0017159
2,"Boundary","moat start",,"posterior",-2689.5,0.0018382
2,"Boundary","moat start",,"posterior",-2684.5,0.0019122
2,"Boundary","moat start",,"posterior",-2679.5,0.001952
2,"Boundary","moat start",,"posterior",-2674.5,0.0020366
2,"Boundary","moat start",,"posterior",-2669.5,0.0020272
2,"Boundary","moat start",,"posterior",-2664.5,0.0022171
2,"Boundary","moat start",,"posterior",-2659.5,0.0021411
2,"Boundary","moat start",,"posterior",-2654.5,0.0023045
2,"Boundary","moat start",,"posterior",-2649.5,0.0023463
2,"Boundary","moat start",,"posterior",-2644.5,0.0025049
2,"Boundary","moat start",,"posterior",-2639.5,0.0025825
2,"Boundary","moat start",,"posterior",-2634.5,0.0026419
2,"Boundary","moat start",,"posterior",-2629.5,0.0029183
2,"Boundary","moat start",,"posterior",-2624.5,0.0031073
2,"Boundary","moat start",,"posterior",-2619.5,0.0031142
2,"Boundary","moat start",,"posterior",-2614.5,0.0029122
2,"Boundary","moat start",,"posterior",-2609.5,0.0026585
2,"Boundary","moat start",,"posterior",-2604.5,0.0023646
2,"Boundary","moat start",,"posterior",-2599.5,0.00215
2,"Boundary","moat start",,"posterior",-2594.5,0.0020496
2,"Boundary","moat start",,"posterior",-2589.5,0.0016439
2,"Boundary","moat start",,"posterior",-2584.5,0.0016419
2,"Boundary","moat start",,"posterior",-2579.5,0.001215
2,"Boundary","moat start",,"posterior",-2574.5,0.0008996
2,"Boundary","moat start",,"posterior",-2569.5,0.0004667
2,"Boundary","moat start",,"posterior",-2564.5,0.0003907
2,"Boundary","moat start",,"posterior",-2559.5,0.0003724
2,"Boundary","moat start",,"posterior",-2554.5,0.0004268
2,"Boundary","moat start",,"posterior",-2549.5,0.0004476
2,"Boundary","moat start",,"posterior",-2544.5,0.0004337
2,"Boundary","moat start",,"posterior",-2539.5,0.0004573
2,"Boundary","moat start",,"posterior",-2534.5,0.0006037
2,"Boundary","moat start",,"posterior",-2529.5,0.0006098
2,"Boundary","moat start",,"posterior",-2524.5,0.0006167
2,"Boundary","moat start",,"posterior",-2519.5,0.0006687
2,"Boundary","moat start",,"posterior",-2514.5,0.0006203
2,"Boundary","moat start",,"posterior",-2509.5,0.0005687
2,"Boundary","moat start",,"posterior",-2504.5,0.0003268
2,"Boundary","moat start",,"posterior",-2499.5,0.00010691
2,"Boundary","moat start",,"posterior",-2494.5,0.000006506
2,"Boundary","moat start",,"posterior",-2489.5,0
2,"Boundary","moat start",,"posterior",-2484.5,4.08e-7
2,"Boundary","moat start",,"posterior",-2479.5,0.0000012208
4,"Combine","Moat date",,"likelihood",-2874.5,0
4,"Combine","Moat date",,"likelihood",-2869.5,0
4,"Combine","Moat date",,"likelihood",-2864.5,1.762e-8
4,"Combine","Moat date",,"likelihood",-2859.5,1.0572e-7
4,"Combine","Moat date",,"likelihood",-2854.5,8.282e-7
4,"Combine","Moat date",,"likelihood",-2849.5,0.000005286
4,"Combine","Moat date",,"likelihood",-2844.5,0.000031012
