"index","op","name","z","type","value","probability"
2,"Boundary","moat start",,"posterior",-3314.5,0
2,"Boundary","moat start",,"posterior",-3309.5,0
2,"Boundary","moat start",,"posterior",-3304.5,0.0015776
2,"Boundary","moat start",,"posterior",-3299.5,0.0024719
2,"Boundary","moat start",,"posterior",-3294.5,0.0022024
2,"Boundary","moat start",,"posterior",-3289.5,0.0019931
2,"Boundary","moat start",,"posterior",-3284.5,0.001778
2,"Boundary","moat start",,"posterior",-3279.5,0.0017488
2,"Boundary","moat start",,"posterior",-3274.5,0.0016195
2,"Boundary","moat start",,"posterior",-3269.5,0.0016028
2,"Boundary","moat start",,"posterior",-3264.5,0.0015646
2,"Boundary","moat start",,"posterior",-3259.5,0.0014955
2,"Boundary","moat start",,"posterior",-3254.5,0.0014256
2,"Boundary","moat start",,"posterior",-3249.5,0.0014081
2,"Boundary","moat start",,"posterior",-3244.5,0.0013939
2,"Boundary","moat start",,"posterior",-3239.5,0.0013488
2,"Boundary","moat start",,"posterior",-3234.5,0.0012911
2,"Boundary","moat start",,"posterior",-3229.5,0.0012947
2,"Boundary","moat start",,"posterior",-3224.5,0.0012244
2,"Boundary","moat start",,"posterior",-3219.5,0.0012313
2,"Boundary","moat start",,"posterior",-3214.5,0.0011801
2,"Boundary","moat start",,"posterior",-3209.5,0.0011858
2,"Boundary","moat start",,"posterior",-3204.5,0.0011459
2,"Boundary","moat start",,"posterior",-3199.5,0.0011667
2,"Boundary","moat start",,"posterior",-3194.5,0.0011541
2,"Boundary","moat start",,"posterior",-3189.5,0.0010988
2,"Boundary","moat start",,"posterior",-3184.5,0.0011537
2,"Boundary","moat start",,"posterior",-3179.5,0.0011248
2,"Boundary","moat start",,"posterior",-3174.5,0.0010622
2,"Boundary","moat start",,"posterior",-3169.5,0.0010821
2,"Boundary","moat start",,"posterior",-3164.5,0.0010642
2,"Boundary","moat start",,"posterior",-3159.5,0.0010663
2,"Boundary","moat start",,"posterior",-3154.5,0.0010443
2,"Boundary","moat start",,"posterior",-3149.5,0.0010211
2,"Boundary","moat start",,"posterior",-3144.5,0.001039
2,"Boundary","moat start",,"posterior",-3139.5,0.0009992
2,"Boundary","moat start",,"posterior",-3134.5,0.0010183
2,"Boundary","moat start",,"posterior",-3129.5,0.000952
2,"Boundary","moat start",,"posterior",-3124.5,0.0009878
2,"Boundary","moat start",,"posterior",-3119.5,0.0009512
2,"Boundary","moat start",,"posterior",-3114.5,0.0009606
2,"Boundary","moat start",,"posterior",-3109.5,0.0009695
2,"Boundary","moat start",,"posterior",-3104.5,0.0009073
2,"Boundary","moat start",,"posterior",-3099.5,0.0009545
2,"Boundary","moat start",,"posterior",-3094.5,0.0008972
2,"Boundary","moat start",,"posterior",-3089.5,0.0009252
2,"Boundary","moat start",,"posterior",-3084.5,0.0009264
2,"Boundary","moat start",,"posterior",-3079.5,0.0009415
2,"Boundary","moat start",,"posterior",-3074.5,0.0008984
2,"Boundary","moat start",,"posterior",-3069.5,0.0009264
2,"Boundary","moat start",,"posterior",-3064.5,0.0009065
2,"Boundary","moat start",,"posterior",-3059.5,0.0009004
2,"Boundary","moat start",,"posterior",-3054.5,0.0009118
2,"Boundary","moat start",,"posterior",-3049.5,0.0009435
2,"Boundary","moat start",,"posterior",-3044.5,0.0009041
2,"Boundary","moat start",,"posterior",-3039.5,0.0009199
2,"Boundary","moat start",,"posterior",-3034.5,0.0009093
2,"Boundary","moat start",,"posterior",-3029.5,0.0009159
2,"Boundary","moat start",,"posterior",-3024.5,0.0009297
2,"Boundary","moat start",,"posterior",-3019.5,0.0009191
2,"Boundary","moat start",,"posterior",-3014.5,0.0008687
2,"Boundary","moat start",,"posterior",-3009.5,0.0009049
2,"Boundary","moat start",,"posterior",-3004.5,0.0008598
2,"Boundary","moat start",,"posterior",-2999.5,0.000878
2,"Boundary","moat start",,"posterior",-2994.5,0.0009114
2,"Boundary","moat start",,"posterior",-2989.5,0.0009049
2,"Boundary","moat start",,"posterior",-2984.5,0.0008618
2,"Boundary","moat start",,"posterior",-2979.5,0.0009317
2,"Boundary","moat start",,"posterior",-2974.5,0.0008687
2,"Boundary","moat start",,"posterior",-2969.5,0.0009134
2,"Boundary","moat start",,"posterior",-2964.5,0.0008923
2,"Boundary","moat start",,"posterior",-2959.5,0.0009142
2,"Boundary","moat start",,"posterior",-2954.5,0.0008996
2,"Boundary","moat start",,"posterior",-2949.5,0.0008927
2,"Boundary","moat start",,"posterior",-2944.5,0.0008846
2,"Boundary","moat start",,"posterior",-2939.5,0.0009224
2,"Boundary","moat start",,"posterior",-2934.5,0.0009171
2,"Boundary","moat start",,"posterior",-2929.5,0.0008841
2,"Boundary","moat start",,"posterior",-2924.5,0.0009472
2,"Boundary","moat start",,"posterior",-2919.5,0.0009272
2,"Boundary","moat start",,"posterior",-2914.5,0.0009321
2,"Boundary","moat start",,"posterior",-2909.5,0.0009614
2,"Boundary","moat start",,"posterior",-2904.5,0.0009219
2,"Boundary","moat start",,"posterior",-2899.5,0.0009439
2,"Boundary","moat start",,"posterior",-2894.5,0.0009874
2,"Boundary","moat start",,"posterior",-2889.5,0.0009618
2,"Boundary","moat start",,"posterior",-2884.5,0.0009768
2,"Boundary","moat start",,"posterior",-2879.5,0.0009695
2,"Boundary","moat start",,"posterior",-2874.5,0.0010268
2,"Boundary","moat start",,"posterior",-2869.5,0.0009699
2,"Boundary","moat start",,"posterior",-2864.5,0.0010089
2,"Boundary","moat start",,"posterior",-2859.5,0.0010411
2,"Boundary","moat start",,"posterior",-2854.5,0.0010789
2,"Boundary","moat start",,"posterior",-2849.5,0.0010878
2,"Boundary","moat start",,"posterior",-2844.5,0.0011236
2,"Boundary","moat start",,"posterior",-2839.5,0.0010841
2,"Boundary","moat start",,"posterior",-2834.5,0.0011805
2,"Boundary","moat start",,"posterior",-2829.5,0.0010898
2,"Boundary","moat start",,"posterior",-2824.5,0.0011024
2,"Boundary","moat start",,"posterior",-2819.5,0.0011049
2,"Boundary","moat start",,"posterior",-2814.5,0.0010683
2,"Boundary","moat start",,"posterior",-2809.5,0.0010638
2,"Boundary","moat start",,"posterior",-2804.5,0.0010671
2,"Boundary","moat start",,"posterior",-2799.5,0.0011118
2,"Boundary","moat start",,"posterior",-2794.5,0.0011289
2,"Boundary","moat start",,"posterior",-2789.5,0.0011037
2,"Boundary","moat start",,"posterior",-2784.5,0.0011541
2,"Boundary","moat start",,"posterior",-2779.5,0.0012077
2,"Boundary","moat start",,"posterior",-2774.5,0.0011959
2,"Boundary","moat start",,"posterior",-2769.5,0.0011524
2,"Boundary","moat start",,"posterior",-2764.5,0.0012167
2,"Boundary","moat start",,"posterior",-2759.5,0.0012898
2,"Boundary","moat start",,"posterior",-2754.5,0.0012512
2,"Boundary","moat start",,"posterior",-2749.5,0.001289
2,"Boundary","moat start",,"posterior",-2744.5,0.0013589
2,"Boundary","moat start",,"posterior",-2739.5,0.0013354
2,"Boundary","moat start",,"posterior",-2734.5,0.0013537
2,"Boundary","moat start",,"posterior",-2729.5,0.0014744
2,"Boundary","moat start",,"posterior",-2724.5,0.0014821
2,"Boundary","moat start",,"posterior",-2719.5,0.0015695
2,"Boundary","moat start",,"posterior",-2714.5,0.001522
2,"Boundary","moat start",,"posterior",-2709.5,0.0016065
2,"Boundary","moat start",,"posterior",-2704.5,0.0015866
2,"Boundary","moat start",,"posterior",-2699.5,0.0016667
2,"Boundary","moat start",,"posterior",-2694.5,0.0017963
2,"Boundary","moat start",,"posterior",-2689.5,0.0017646
2,"Boundary","moat start",,"posterior",-2684.5,0.0018248
2,"Boundary","moat start",,"posterior",-2679.5,0.0019431
2,"Boundary","moat start",,"posterior",-2674.5,0.0019598
2,"Boundary","moat start",,"posterior",-2669.5,0.0020138
2,"Boundary","moat start",,"posterior",-2664.5,0.0021793
2,"Boundary","moat start",,"posterior",-2659.5,0.0022484
2,"Boundary","moat start",,"posterior",-2654.5,0.0023293
2,"Boundary","moat start",,"posterior",-2649.5,0.0023598
2,"Boundary","moat start",,"posterior",-2644.5,0.002461
2,"Boundary","moat start",,"posterior",-2639.5,0.0026492
2,"Boundary","moat start",,"posterior",-2634.5,0.0027549
2,"Boundary","moat start",,"posterior",-2629.5,0.0028415
2,"Boundary","moat start",,"posterior",-2624.5,0.0031012
2,"Boundary","moat start",,"posterior",-2619.5,0.0031134
2,"Boundary","moat start",,"posterior",-2614.5,0.0028728
2,"Boundary","moat start",,"posterior",-2609.5,0.0026032
2,"Boundary","moat start",,"posterior",-2604.5,0.0023443
2,"Boundary","moat start",,"posterior",-2599.5,0.0020191
2,"Boundary","moat start",,"posterior",-2594.5,0.0019736
2,"Boundary","moat start",,"posterior",-2589.5,0.0016264
2,"Boundary","moat start",,"posterior",-2584.5,0.0015297
2,"Boundary","moat start",,"posterior",-2579.5,0.0014272
2,"Boundary","moat start",,"posterior",-2574.5,0.0008106
2,"Boundary","moat start",,"posterior",-2569.5,0.0004756
2,"Boundary","moat start",,"posterior",-2564.5,0.0003984
2,"Boundary","moat start",,"posterior",-2559.5,0.0003699
2,"Boundary","moat start",,"posterior",-2554.5,0.0003817
2,"Boundary","moat start",,"posterior",-2549.5,0.0004362
2,"Boundary","moat start",,"posterior",-2544.5,0.0004508
2,"Boundary","moat start",,"posterior",-2539.5,0.000552
2,"Boundary","moat start",,"posterior",-2534.5,0.0005154
2,"Boundary","moat start",,"posterior",-2529.5,0.0005858
2,"Boundary","moat start",,"posterior",-2524.5,0.0006341
2,"Boundary","moat start",,"posterior",-2519.5,0.0006187
2,"Boundary","moat start",,"posterior",-2514.5,0.0006163
2,"Boundary","moat start",,"posterior",-2509.5,0.0005488
2,"Boundary","moat start",,"posterior",-2504.5,0.00030691
2,"Boundary","moat start",,"posterior",-2499.5,0.00011545
2,"Boundary","moat start",,"posterior",-2494.5,0.000015041
2,"Boundary","moat start",,"posterior",-2489.5,0
2,"Boundary","moat start",,"posterior",-2484.5,4.079e-7
2,"Boundary","moat start",,"posterior",-2479.5,0
4,"Combine","Moat date",,"likelihood",-2874.5,0
4,"Combine","Moat date",,"likelihood",-2869.5,0
4,"Combine","Moat date",,"likelihood",-2864.5,1.762e-8
4,"Combine","Moat date",,"likelihood",-2859.5,1.0572e-7
4,"Combine","Moat date",,"likelihood",-2854.5,8.282e-7
4,"Combine","Moat date",,"likelihood",-2849.5,0.000005286
4,"Combine","Moat date",,"likelihood",-2844.5,0.000031012
