"index","op","name","z","type","value","probability"
2,"Boundary","Cemetery Start",,"posterior",-3404.5,0
2,"Boundary","Cemetery Start",,"posterior",-3399.5,5.915e-8
2,"Boundary","Cemetery Start",,"posterior",-3394.5,5.915e-8
2,"Boundary","Cemetery Start",,"posterior",-3389.5,3.1548e-7
2,"Boundary","Cemetery Start",,"posterior",-3384.5,3.549e-7
2,"Boundary","Cemetery Start",,"posterior",-3379.5,2.5632e-7
2,"Boundary","Cemetery Start",,"posterior",-3374.5,8.873e-7
2,"Boundary","Cemetery Start",,"posterior",-3369.5,9.859e-8
2,"Boundary","Cemetery Start",,"posterior",-3364.5,5.126e-7
2,"Boundary","Cemetery Start",,"posterior",-3359.5,3.549e-7
2,"Boundary","Cemetery Start",,"posterior",-3354.5,0.0000026618
2,"Boundary","Cemetery Start",,"posterior",-3349.5,0.00000209
2,"Boundary","Cemetery Start",,"posterior",-3344.5,0.0000024055
2,"Boundary","Cemetery Start",,"posterior",-3339.5,0.000006822
2,"Boundary","Cemetery Start",,"posterior",-3334.5,0.000006664
2,"Boundary","Cemetery Start",,"posterior",-3329.5,0.0000019323
2,"Boundary","Cemetery Start",,"posterior",-3324.5,0.000004949
2,"Boundary","Cemetery Start",,"posterior",-3319.5,0.000006724
2,"Boundary","Cemetery Start",,"posterior",-3314.5,0.000016089
2,"Boundary","Cemetery Start",,"posterior",-3309.5,0.000005521
2,"Boundary","Cemetery Start",,"posterior",-3304.5,0.000005994
2,"Boundary","Cemetery Start",,"posterior",-3299.5,0.000009011
2,"Boundary","Cemetery Start",,"posterior",-3294.5,0.000015675
2,"Boundary","Cemetery Start",,"posterior",-3289.5,0.00001047
2,"Boundary","Cemetery Start",,"posterior",-3284.5,0.000016148
2,"Boundary","Cemetery Start",,"posterior",-3279.5,0.000015103
2,"Boundary","Cemetery Start",,"posterior",-3274.5,0.000018495
2,"Boundary","Cemetery Start",,"posterior",-3269.5,0.00000907
2,"Boundary","Cemetery Start",,"posterior",-3264.5,0.000016661
2,"Boundary","Cemetery Start",,"posterior",-3259.5,0.000012185
2,"Boundary","Cemetery Start",,"posterior",-3254.5,0.000020407
2,"Boundary","Cemetery Start",,"posterior",-3249.5,0.000016622
2,"Boundary","Cemetery Start",,"posterior",-3244.5,0.000009839
2,"Boundary","Cemetery Start",,"posterior",-3239.5,0.000010095
2,"Boundary","Cemetery Start",,"posterior",-3234.5,0.000018495
2,"Boundary","Cemetery Start",,"posterior",-3229.5,0.000013802
2,"Boundary","Cemetery Start",,"posterior",-3224.5,0.000022241
2,"Boundary","Cemetery Start",,"posterior",-3219.5,0.000021511
2,"Boundary","Cemetery Start",,"posterior",-3214.5,0.000031193
2,"Boundary","Cemetery Start",,"posterior",-3209.5,0.00004369
2,"Boundary","Cemetery Start",,"posterior",-3204.5,0.0000528
2,"Boundary","Cemetery Start",,"posterior",-3199.5,0.000075
2,"Boundary","Cemetery Start",,"posterior",-3194.5,0.00013021
2,"Boundary","Cemetery Start",,"posterior",-3189.5,0.00018869
2,"Boundary","Cemetery Start",,"posterior",-3184.5,0.00026021
2,"Boundary","Cemetery Start",,"posterior",-3179.5,0.0003331
2,"Boundary","Cemetery Start",,"posterior",-3174.5,0.0004218
2,"Boundary","Cemetery Start",,"posterior",-3169.5,0.0004861
2,"Boundary","Cemetery Start",,"posterior",-3164.5,0.0005491
2,"Boundary","Cemetery Start",,"posterior",-3159.5,0.0006229
2,"Boundary","Cemetery Start",,"posterior",-3154.5,0.0006964
2,"Boundary","Cemetery Start",,"posterior",-3149.5,0.0009577
2,"Boundary","Cemetery Start",,"posterior",-3144.5,0.0015196
2,"Boundary","Cemetery Start",,"posterior",-3139.5,0.0024289
2,"Boundary","Cemetery Start",,"posterior",-3134.5,0.003633
2,"Boundary","Cemetery Start",,"posterior",-3129.5,0.005309
2,"Boundary","Cemetery Start",,"posterior",-3124.5,0.007866
2,"Boundary","Cemetery Start",,"posterior",-3119.5,0.011318
2,"Boundary","Cemetery Start",,"posterior",-3114.5,0.015305
2,"Boundary","Cemetery Start",,"posterior",-3109.5,0.019431
2,"Boundary","Cemetery Start",,"posterior",-3104.5,0.019717
2,"Boundary","Cemetery Start",,"posterior",-3099.5,0.014579
2,"Boundary","Cemetery Start",,"posterior",-3094.5,0.009182
2,"Boundary","Cemetery Start",,"posterior",-3089.5,0.005804
2,"Boundary","Cemetery Start",,"posterior",-3084.5,0.004419
2,"Boundary","Cemetery Start",,"posterior",-3079.5,0.004275
2,"Boundary","Cemetery Start",,"posterior",-3074.5,0.005374
2,"Boundary","Cemetery Start",,"posterior",-3069.5,0.007824
2,"Boundary","Cemetery Start",,"posterior",-3064.5,0.012173
2,"Boundary","Cemetery Start",,"posterior",-3059.5,0.016354
2,"Boundary","Cemetery Start",,"posterior",-3054.5,0.015247
2,"Boundary","Cemetery Start",,"posterior",-3049.5,0.009102
2,"Boundary","Cemetery Start",,"posterior",-3044.5,0.003174
2,"Boundary","Cemetery Start",,"posterior",-3039.5,0.000703
2,"Boundary","Cemetery Start",,"posterior",-3034.5,0.00009417
2,"Boundary","Cemetery Start",,"posterior",-3029.5,0
4,"R_Date","NM20",,"likelihood",-3504.5,0
