"index","op","name","z","type","value","probability"
2,"Boundary","Cemetery Start",,"posterior",-3029.5,0
2,"Boundary","Cemetery Start",,"posterior",-3024.5,0.0000018729
2,"Boundary","Cemetery Start",,"posterior",-3019.5,0.0000016699
2,"Boundary","Cemetery Start",,"posterior",-3014.5,0.0000031253
2,"Boundary","Cemetery Start",,"posterior",-3009.5,0.000002911
2,"Boundary","Cemetery Start",,"posterior",-3004.5,0.0000014555
2,"Boundary","Cemetery Start",,"posterior",-2999.5,0.0000027079
2,"Boundary","Cemetery Start",,"posterior",-2994.5,8.349e-7
2,"Boundary","Cemetery Start",,"posterior",-2989.5,0.0000027079
2,"Boundary","Cemetery Start",,"posterior",-2984.5,0.000002911
2,"Boundary","Cemetery Start",,"posterior",-2979.5,0.0000018729
2,"Boundary","Cemetery Start",,"posterior",-2974.5,0.000004163
2,"Boundary","Cemetery Start",,"posterior",-2969.5,0.000005833
2,"Boundary","Cemetery Start",,"posterior",-2964.5,0.000004581
2,"Boundary","Cemetery Start",,"posterior",-2959.5,0.000003543
2,"Boundary","Cemetery Start",,"posterior",-2954.5,0.000005213
2,"Boundary","Cemetery Start",,"posterior",-2949.5,0.000007921
2,"Boundary","Cemetery Start",,"posterior",-2944.5,0.000007706
2,"Boundary","Cemetery Start",,"posterior",-2939.5,0.000008959
2,"Boundary","Cemetery Start",,"posterior",-2934.5,0.000009997
2,"Boundary","Cemetery Start",,"posterior",-2929.5,0.000014792
2,"Boundary","Cemetery Start",,"posterior",-2924.5,0.000013539
2,"Boundary","Cemetery Start",,"posterior",-2919.5,0.000016247
2,"Boundary","Cemetery Start",,"posterior",-2914.5,0.00001979
2,"Boundary","Cemetery Start",,"posterior",-2909.5,0.000020411
2,"Boundary","Cemetery Start",,"posterior",-2904.5,0.000029369
2,"Boundary","Cemetery Start",,"posterior",-2899.5,0.000029787
2,"Boundary","Cemetery Start",,"posterior",-2894.5,0.00003208
2,"Boundary","Cemetery Start",,"posterior",-2889.5,0.00004041
2,"Boundary","Cemetery Start",,"posterior",-2884.5,0.00003896
2,"Boundary","Cemetery Start",,"posterior",-2879.5,0.00005063
2,"Boundary","Cemetery Start",,"posterior",-2874.5,0.00004625
2,"Boundary","Cemetery Start",,"posterior",-2869.5,0.00007667
2,"Boundary","Cemetery Start",,"posterior",-2864.5,0.00007603
2,"Boundary","Cemetery Start",,"posterior",-2859.5,0.00009166
2,"Boundary","Cemetery Start",,"posterior",-2854.5,0.0000825
2,"Boundary","Cemetery Start",,"posterior",-2849.5,0.00009687
